"id","target_threshold","stimulus","freq","pred_prob","distance_to_target"
"LN42_april14",0.4,"daga993",2146,0.399864881002958,0.000135118997041883
"LN42_april14",0.5,"daga889",2094,0.499706241210149,0.000293758789850718
"LN42_april14",0.6,"daga785",2042,0.599566101227197,0.000433898772802643
"test",0.4,"daga1104",2201.5,0.399826135472438,0.000173864527562018
"test",0.5,"daga1025",2162,0.50008789057371,8.78905737101698e-05
"test",0.6,"daga946",2122.5,0.600344065053294,0.000344065053294096
